front,back,hint,publishedAt
"kotoa, sisältä, ulkoa","from home; from inside; from outside","Tulen kotoa. Tulen sisältä. Tulen ulkoa.","2026-02-18T12:45:15.819Z"
"kotona, sisällä, ulkoa","at home; inside; from outside","Olen kotona. Olen sisällä. Tulen ulkoa.","2026-02-18T12:45:12.224Z"
"Missä?","where (location)?","Missä se on?","2026-02-18T12:45:10.472Z"
"kotiin, sisään, ulos","home; inside; out","Menen kotiin. Menen sisään. Menen ulos.","2026-02-18T12:45:08.785Z"
"Mihin?","to where?","Mihin hän menee? Hän menee kauppaan.","2026-02-18T12:45:06.888Z"
"Millaisessa talossa sinä asut?","What kind of house do you live in?","Millaisessa talossa sinä asut?","2026-02-18T12:45:05.099Z"
"Valoisassa asunnossa on kolme huonetta.","There are three rooms in the bright apartment.","Valoisassa asunnossa on kolme huonetta.","2026-02-18T12:45:03.384Z"
"Hän käy torilla.","He/she visits/goes to the market square.","Hän käy torilla.","2026-02-18T12:45:01.472Z"
"Hän käy kaupassa.","He/she visits/goes to the store.","Hän käy kaupassa.","2026-02-18T12:44:59.729Z"
"Hän menee torille.","He/she goes to the market square.","Hän menee torille.","2026-02-18T12:44:57.911Z"
"Hän menee kauppaan.","He/she goes to the store.","Hän menee kauppaan.","2026-02-18T12:44:56.001Z"
"Katso, tämä näyttää hyvältä!","Look, this looks good!","Katso, tämä näyttää hyvältä!","2026-02-18T12:44:54.221Z"
"Mikä tuo on? Entä nämä?","What's that? And these?","Mikä tuo on? Entä nämä?","2026-02-18T12:44:52.525Z"
"Suomessa ei ole kuningasta.","There is no king in Finland.","Suomessa ei ole kuningasta.","2026-02-18T12:44:50.659Z"
"Keittiössä ei ole isoa pöytää.","There isn't a big table in the kitchen.","Keittiössä ei ole isoa pöytää.","2026-02-18T12:44:48.902Z"
"hylly","shelf","Huoneessa on sohva, pöytä ja hylly.","2026-02-18T12:44:47.189Z"
"viet tämän lampun? Vie vaikka pöydälle.","will you take this lamp? Take it to the table.","Mihin viet tämän lampun? Vie vaikka tämä lamppu pöydälle.","2026-02-18T12:44:45.256Z"
"mies tulee? terassilta.","does the man come? from the terrace","Mistä mies tulee? Mies tulee terassilta.","2026-02-18T12:44:43.485Z"
"on matto? Lattialla.","is there a rug? on the floor","Missä on matto? Lattialla on matto.","2026-02-18T12:44:41.777Z"
"hän menee? kauppaan.","does he/she go? to the store","Mihin hän menee? Hän menee kauppaan.","2026-02-18T12:44:39.751Z"
"mies nostaa laatikkoa? autosta.","does the man lift a box? from the car","Mistä mies nostaa laatikkoa? Mies nostaa laatikkoa autosta.","2026-02-18T12:44:38.101Z"
"on iso pöytä? Keittiössä","is there a big table? in the kitchen","Missä on iso pöytä? Keittiössä on iso pöytä.","2026-02-18T12:44:36.325Z"
"maksu","a payment","Hän sai maksun freelance-työstään.","2026-01-11T19:04:14.061Z"
"metroasema","metro station","Missä on lähin metroasema?","2025-12-12T19:20:27.428Z"
"hiihtää","ski","Minä hiihtän talvella.","2025-12-12T19:18:40.435Z"
"näyttää olevan","to seem","Hän näyttää olevan väsynyt pitkän matkan jälkeen.","2026-01-11T19:03:46.860Z"
"Mistä sinä pidät?","What do you like?","Mistä sinä pidät?","2026-02-05T06:19:31.449Z"
"osoite","Address","Voitko antaa minulle osoitteen?","2025-11-30T15:02:25.645Z"
"vuokra-asunto","rented apartment","Me etsimme vuokra-asuntoa Helsingistä.","2025-12-12T19:20:05.139Z"
"seloste","explanation","Seloste tapahtumasta julkaistiin lehdessä.","2026-01-18T16:25:57.155Z"
"oikein","properly","Laite ei toimi oikein.","2026-01-29T05:29:44.486Z"
"laitta","put","Voit laittaa kirjan pöydälle.","2026-01-18T16:26:43.007Z"
"omistaja","the owner","Talon omistaja on erittäin ystävällinen.","2026-01-11T19:04:17.034Z"
"toimia","to operate","Laite ei toimi oikein.","2026-01-29T05:27:43.101Z"
"eronnut","divorced","Hän on eronnut ja asuu nyt yksin.","2025-11-30T15:02:35.682Z"
"koko","size","Minä söin koko kakun.","2025-12-09T11:00:28.262Z"
"espanjaa","Spanish (language, partitive)","Ei, minä en puhu espanjaa.","2026-01-31T06:24:12.804Z"
"vanhempi","senior","Hän on vanhempi kuin minä.","2026-01-07T20:06:32.401Z"
"alusvaatteet","underwear","Hän unohti alusvaatteet matkalle.","2025-12-12T19:18:20.251Z"
"kasvu","Growth","Yrityksen kasvu on ollut nopeaa viime vuosina.","2026-01-11T19:04:22.206Z"
"jakssa","can","Jaksaako hän tehdä tämän työn loppuun?","2025-12-12T19:20:16.118Z"
"tapahtuma","an event","Koulu järjestää tapahtuman juhlistaakseen Maan päivää.","2026-01-11T19:04:19.039Z"
"Vuodenaika","Season","Syksyllä puut muuttavat väriä vuodenaikana.","2025-11-30T15:01:58.582Z"
"jokainen","each","Väittelyn aikana jokainen opiskelija esitti argumenttinsa selkeästi.","2026-01-12T12:24:42.040Z"
"nyt","now","Nyt ymmärrän, mitä tarkoitat.","2025-04-03T06:10:13.955Z"
"Pohjois","North","","2025-12-09T11:00:42.766Z"
"tutustua","meet","Hauska tutustua!","2024-10-21T17:52:52.779Z"
"huone","room","Olen kotona ja siivoan huonettani.","2025-11-30T15:02:38.431Z"
"osata","know how to / can","Osaatko sinä uida?","2026-02-10T07:28:56.167Z"
"rikkoa","break","Älä riko sääntöjä!","2026-01-31T12:06:00.607Z"
"märkä","wet","Matto liukastuu, kun se on märkä.","2026-01-18T08:52:05.466Z"
"tuolta","from over there","Tuolta tulee auto.","2026-02-01T06:28:46.135Z"
"pyyntö","a request","Hän lähetti pyynnön liittyä klubiin.","2026-01-11T19:04:28.752Z"
"oltava","must be","Se on oltava valmis huomenna.","2026-01-21T05:40:59.283Z"
"vaihtaa","to exchange","Rose ja Susan vaihtoivat numeroitaan.","2026-01-11T19:04:07.804Z"
"tulevaisuus","future","Tulevaisuus näyttää valoisalta.","2026-01-17T07:46:55.852Z"
"luen lehteä","I read the newspaper","Sen jälkeen luen lehteä.","2026-02-10T07:29:25.533Z"
"kreikka","Greek","","2025-04-03T06:12:51.606Z"
"meitä","About us","","2025-12-15T08:41:12.191Z"
"tulos","Result","Hänen kokeensa tulos oli erinomainen.","2026-01-11T19:04:23.604Z"
"vaikuttaa","to affect","Hänen sanansa vaikuttivat päätökseeni.","2026-01-22T10:40:27.295Z"
"Minä ottaisin tämän takin","I'll take this jacket","Mä ottaisin tän takin.","2026-02-05T06:19:33.164Z"
"Hetki, mä tarkistan","One moment, I'll check","Hetki, mä tarkistan.","2026-02-05T06:19:23.314Z"
"teollisuus","an industry","Yritys erikoistui lääketeollisuuteen.","2026-01-11T19:04:30.692Z"
"liitu","chalk","Opettaja kirjoitti oppitunnin liitutaululle valkoisella liidulla.","2026-01-11T19:04:21.991Z"
"Ruoan jälkeen","after the meal","Ruoan jälkeen lapset haluavat katsoa televisiota.","2026-02-10T07:28:57.793Z"
"päivittäin","daily","Hän juo kahvia päivittäin.","2026-01-11T19:03:33.588Z"
"kalsari","underwear","Ostin uudet kalsarit kaupasta.","2025-12-12T19:18:21.245Z"
"puhua","talk","He puhuvat paljon eri kieliä.","2024-11-27T21:25:10.683Z"
"huivi","scarf","Hän sitoi huivin hiuksiinsa.","2025-12-12T19:18:21.557Z"
"Aijaa!","Oh realy?","Aijaa! En tiennyt tätä ennen.","2025-11-30T15:01:16.039Z"
"ujo","shy","Hän on ujo tyttö.","2025-11-30T15:02:35.194Z"
"pakkasta","frost","Talvella on usein paljon pakkasta.","2025-11-30T15:01:54.209Z"
"itä","east","Aurinko nousee idästä.","2025-04-03T06:14:14.147Z"
"samalla","on the same","Minun ystävät ovat samalla kurssilla.","2026-02-03T06:34:02.343Z"
"enemmän","more","Hänellä on etulyönti kilpailussa, koska hän on harjoitellut enemmän.","2026-01-22T10:33:22.880Z"
"siis","so","Olen väsynyt, siis menen nukkumaan.","2025-11-30T15:02:21.771Z"
"patsas","statue","Patsas oli tehty jäästä.","2026-01-11T19:04:21.404Z"
"selkeästi","clearly","Väittelyn aikana jokainen opiskelija esitti argumenttinsa selkeästi.","2026-01-12T12:18:03.394Z"
"kuitenkin","however","Halusin mennä puistoon; kuitenkin, alkoi sataa.","2026-01-11T19:04:26.232Z"
"kilpailu","competition","Kilpailu oli erittäin jännittävä.","2026-01-21T05:41:32.454Z"
"länsi","west","Helsinki sijaitsee lännessä.","2025-04-03T06:14:25.617Z"
"pyörä","wheel","Pyörä pyörii nopeasti.","2025-11-30T15:02:40.398Z"
"osoittaa","to show","Voit osoittaa tien tähän suuntaan.","2026-01-29T14:39:47.540Z"
"Minulle kuuluu hyvää.","I'm doing well.","","2024-10-21T17:54:43.900Z"
"toisaalta","on the other hand","Ahkera opiskelu on tärkeää; toisaalta taukojen pitäminen voi auttaa oppimaan paremmin.","2026-01-11T19:04:16.146Z"
"mainos","an advertisement","Lehdessä ollut mainos kiinnitti huomioni.","2026-01-11T19:04:30.031Z"
"lokki","a seagull","Näin rannalla lokin.","2026-01-11T19:04:13.741Z"
"No joo, niin kuulemma","Well, yes, so I've heard","No joo, niin kuulemma, että hän on muuttamassa toiseen kaupunkiin.","2025-11-30T15:01:34.469Z"
"nauttia","enjoy","He nauttivat kesästä.","2025-11-30T15:01:29.389Z"
"Mitä sinulla on päällä?","What are you wearing?","","2025-12-12T19:18:24.072Z"
"näyttää hyvältä","looks good","Se mekko näyttää hyvältä.","2025-12-12T19:19:40.051Z"
"ruohoa","grass","Ruoho kasvaa nopeasti keväällä.","2026-01-21T05:44:13.513Z"
"bussi","bus","Missä on lähin bussi pysäkki?","2024-11-27T21:29:46.873Z"
"jotain","something","Voitko antaa minulle jotain?","2025-12-12T19:18:35.996Z"
"suihku","shower","Minä menen suihkuun.","2025-12-12T19:20:01.899Z"
"baari","bar","Me menemme baariin tänä iltana.","2025-12-12T19:20:24.787Z"
"liikenne","traffic","Liikenne on ruuhkautunut tänään.","2026-01-31T09:33:57.932Z"
"valita","choose","Minun täytyy valita uusi takki.","2025-12-12T19:18:37.080Z"
"parisänky","double bed","Hotellissa on mukava parisänky.","2024-11-07T05:27:35.492Z"
"liesi","stove","Keittokomerossa on jääkaappi ja liesi.","2026-01-18T09:02:16.453Z"
"urheilu","sports","Minä rakastan urheilua.","2025-11-30T15:02:32.404Z"
"haastava","challenging","Ostin uuden palapelin, joka on todella haastava.","2026-01-21T05:38:55.876Z"
"tutkimus","research","Tutkimus osoitti, että lapset oppivat parhaiten leikin kautta.","2026-01-11T19:04:17.858Z"
"solmio","a tie","Solmio on tärkeä osa liiketapaamisia.","2025-12-12T19:18:22.648Z"
"varttia vaille viisi","quarter to five","Kello on varttia vaille viisi.","2026-02-10T07:28:59.499Z"
"vakavaa","serious","Hänen vakavaa ilmeensä kertoi kaiken ilman sanoja.","2026-01-24T09:12:33.843Z"
"uida","swim","Minä uidan järvessä kesällä.","2025-12-12T19:18:36.571Z"
"Terveisiä Hannalle","Greetings to Hanna","","2025-11-30T15:01:44.350Z"
"käteinen","cash","Voinko maksaa käteisellä?","2025-04-03T06:18:51.900Z"
"äidinkieli","mother tongue","Minun äidinkieleni on suomi.","2024-11-07T05:34:15.507Z"
"luku","number","Keskiarvo on tärkeä luku.","2026-01-20T07:14:07.347Z"
"bussikuski","bus driver","Bussikuski on tärkeä osa julkista liikennettä.","2025-11-30T15:02:30.065Z"
"säännöllisesti","regularly","Auto tulisi huoltaa säännöllisesti.","2026-01-11T19:04:21.821Z"
"ylikansoitettu","overpopulated","Planeetta on ylikansoitettu.","2026-01-11T19:04:29.182Z"
"jo","already","Onko se jo valmis?","2025-11-30T15:00:58.920Z"
"allekirjoittaa","to sign","Voitko allekirjoittaa asiakirjan, kiitos?","2026-01-11T19:04:18.412Z"
"raitiovaunu","tram","Raitiovaunu saapuu pysäkille.","2025-12-12T19:20:31.639Z"
"viiva","line","9-21","2024-10-21T18:03:37.249Z"
"aina","always","Aina on hyvä idea oppia uusia asioita.","2025-11-30T14:59:31.207Z"
"en ymmärrä","I do not understand","Anteeksi, en ymmärrä tätä tehtävää.","2025-11-30T15:02:24.570Z"
"neljäkymmentä","forty","Minulla on neljäkymmentä euroa.","2024-10-27T20:17:21.034Z"
"harjoitella","to practice","Minun täytyy harjoitella pianoa joka päivä.","2026-01-22T10:33:16.302Z"
"ihminen","human","Ihminen on osa luontoa.","2026-01-02T11:41:04.864Z"
"yhdeksäntoista","Nineteen","Ostin yhdeksäntoista omenaa kaupasta.","2024-10-27T20:16:08.437Z"
"olla töissä","be at work","Hän on töissä koko viikon.","2025-11-30T15:00:57.831Z"
"Harvoin","seldom","He pelaavat harvoin ulkona, kun sataa.","2026-01-11T19:04:30.937Z"
"pallo","Balloon","Minä heitän palloa.","2025-04-03T06:16:12.830Z"
"paremmin","better","Hän pelaa paremmin kuin ennen.","2026-01-29T14:54:06.534Z"
"neljätoista","fourteen","Hän on neljätoista vuotta vanha.","2024-10-27T20:15:12.592Z"
"kaula","neck","Hänellä on kaunis kaula.","2026-01-13T19:31:23.084Z"
"tammikuussa","in January","Minun syntymäpäivä on tammikuussa.","2026-02-03T06:34:04.187Z"
"miestä","man (partitive)","9 pitkää miestä.","2026-02-05T06:19:52.621Z"
"venäläinen","Russian","Venäläinen ruoka on todella maukasta.","2024-11-27T21:26:00.726Z"
"julkaista","publish on","Kirja julkaistiin viime viikolla.","2026-01-18T16:55:25.364Z"
"palkitse / palkitseva","to reward / rewarding","Ura markkinoinnissa voi olla hyvin palkitseva.","2026-01-18T12:19:33.429Z"
"kiiltävän","shiny","Auto oli kiiltävän puhdas auringonpaisteessa.","2026-01-29T14:52:31.918Z"
"yöllä","at night","Me käymme ulkona yöllä.","2025-11-30T15:02:09.204Z"
"tili","an account","Tilisi on passiivinen.","2026-01-11T19:04:12.829Z"
"kuulostaa","sounds like","Se kuulostaa hyvältä.","2025-11-30T15:01:42.295Z"
"oma","own","Hänellä on oma auto.","2025-12-09T11:01:04.488Z"
"piste","a point","Asun pisteessä, jossa kaksi jokea kohtaavat.","2026-01-11T19:03:57.077Z"
"linja","line","Otan bussin linjan 5.","2025-12-12T19:20:26.337Z"
"yksin","alone","Minä olen yksin kotona.","2025-12-09T10:59:22.760Z"
"Sopii kelle","Does it work for you? / Who does it suit?","Sopii kelle? Joo, sopii!","2026-02-10T07:29:35.270Z"
"aiheuttaa","to cause","Stressi voi aiheuttaa terveysongelmia.","2026-01-24T09:12:24.161Z"
"piimä","Buttermilk","Piimä on hyvä juoma kesäkuumalla.","2025-12-12T19:20:55.931Z"
"käytös","behaviour","Hänen käytöksensä luokassa on aina kunnioittavaa ja tarkkaavaista.","2026-01-11T19:04:20.846Z"
"pikkusisko","Little sister","Pikkusiskoni on todella söpö.","2025-11-30T15:02:36.628Z"
"toissapäivänä","the day before yesterday","Toissapäivänä kävin elokuvissa.","2024-10-22T19:09:58.552Z"
"erinomainen","excellent","Hänen esityksensä oli erinomainen.","2026-01-22T10:36:38.867Z"
"tyttöystävä","girlfriend","Tyttöystäväni tykkää matkustaa.","2025-11-30T15:02:39.642Z"
"puolukkahillo","lingonberry jam","Me syömme puolukkahilloa pannukakkujen kanssa.","2025-12-12T19:20:17.747Z"
"oltava (sth) mielessä","keep in mind","Muista, että on oltava turvallisuus mielessä, kun käytät työkaluja.","2026-01-21T05:46:34.218Z"
"tieto","knowledge","Hän jakoi tiedon, jonka hän hankki opintojensa aikana.","2026-01-11T19:03:30.495Z"
"ostaa","buy","Minä ostan omenan.","2024-11-27T21:23:46.969Z"
"peura","a deer","Peura juoksee metsässä.","2026-01-11T19:04:05.179Z"
"vain","only","Hän on vain lapsi.","2025-12-09T10:59:11.795Z"
"tukka","hair","Minulla on pitkä tukka.","2025-11-30T15:02:46.188Z"
"iloinen","happy","Meillä oli iloinen juhla eilen.","2025-11-30T15:02:38.924Z"
"kameli","a camel","Kamelilla on kaksi kyhmyä selässään.","2026-01-11T19:03:39.075Z"
"kieli","Language","Minä opiskelen suomea, koska se on kaunis kieli.","2025-04-03T06:12:14.096Z"
"nolla","zero","Minulla on nolla euroa.","2024-10-27T20:11:12.781Z"
"päätös","a decision","Päätös lähteä matkalle tehtiin viime viikolla.","2026-01-11T19:03:37.379Z"
"suuruinen","of a certain size","Vuokratakuu on yleensä yhden kuukauden vuokran suuruinen.","2026-01-18T08:55:16.563Z"
"täältä","from here","Voitko tuoda sen täältä?","2026-02-01T06:27:38.212Z"
"suku","family","Meidän suku kokoontuu joka kesä.","2025-11-30T15:02:25.091Z"
"bussipysäkki","bus stop","Missä on lähin bussipysäkki?","2024-11-27T21:29:15.116Z"
"sukulaiset","relatives","Minun sukulaiseni asuvat eri maissa.","2025-12-09T10:59:53.726Z"
"naapurimma","neighbouring","Naapurimma on ystävällinen.","2025-11-30T14:59:38.249Z"
"Ehdottomasti","certainly","Ehdottomasti menemme puistoon, jos sää on hyvä.","2026-01-11T19:04:19.699Z"
"taksi","taxi","Voitko tilata taksin meille?","2025-12-12T19:20:30.674Z"
"ihmisiä","people","Juhliin tuli paljon ihmisiä.","2025-12-12T19:20:53.751Z"
"mato","a worm","Haluatko nähdä madon?","2026-01-11T19:04:15.286Z"
"yö","night","hyvää yötä!","2024-10-21T18:05:59.732Z"
"yhtäkkiä","suddenly","Hän yhtäkkiä juoksi pois.","2026-01-11T19:03:54.732Z"
"väärä","false","Se on väärä vastaus.","2026-01-31T11:48:01.650Z"
"antaa","give","Minä annan sinulle kirjan.","2025-12-12T19:18:40.014Z"
"alkaa","to start/begin","Seuraava kurssi alkaa huomenna.","2026-02-03T06:34:11.571Z"
"ulkona","outside","Ulkona sataa lunta.","2025-11-30T15:01:53.375Z"
"tie","a road","On tie, joka johtaa rannalle.","2026-01-11T19:04:20.109Z"
"Rakastava","loving","Hänellä on rakastava perhe, joka tukee häntä.","2026-01-11T19:04:11.323Z"
"iltaa!","Good evening!","hyvää iltaa!","2024-10-21T18:05:22.398Z"
"kuumuus","the heat","Kuumuus tekee minut väsyneeksi.","2026-01-11T19:03:26.867Z"
"Mä haluaisin","I would like","Mä haluaisin ilmoittautua suomen kurssille.","2026-02-03T06:34:13.474Z"
"No","Well","","2025-11-30T15:01:32.244Z"
"merkki","sign","Se on hyvä merkki.","2026-01-29T14:29:33.060Z"
"tosi","very","Onko tämä tosi tarina?","2025-11-30T15:01:18.247Z"
"työpaika","workplace","Minulla on uusi työpaikka Helsingissä.","2025-11-30T15:01:35.735Z"
"Ahkera","Hard-working","Hän on ahkera opiskelija.","2026-01-29T14:54:13.707Z"
"katsella","to watch","Me katsellaan elokuvaa tänä iltana.","2025-12-09T11:00:26.010Z"
"lasta","child (partitive)","Kuinka monta lasta?","2026-02-05T06:19:50.979Z"
"aika","rather, time","Minulla ei ole aikaa nyt.","2025-11-30T15:01:11.185Z"
"torstai","Thursday","Torstaina sataa vettä.","2024-10-22T19:07:13.493Z"
"leski","widow","Hän on leski, joka asuu yksin.","2025-12-09T10:59:23.431Z"
"ruskea","brown","Minulla on ruskea takki.","2025-12-09T11:00:01.705Z"
"näin ole hyvä!","There you go!","Tarvitsetko apua? Näin ole hyvä, kysy vain!","2025-12-09T11:01:05.013Z"
"tukea / tukenaan","to support / support (his/her support)","Hänen huoltajansa on aina hänen tukenaan.","2026-01-15T10:55:05.164Z"
"auktoriteetti","authority","Häntä pidetään auktoriteettina lääketieteen alalla.","2026-01-11T19:04:22.551Z"
"lisä-","additional","Tarvitsetko mitään lisätietoa projektista?","2026-01-11T19:04:15.758Z"
"yleinen","General","Yleinen mielipide on, että liikunta on tärkeää.","2026-01-15T10:43:57.232Z"
"ajoissa","on time","Tein läksyt ajoissa ennen koulua.","2026-01-31T11:48:51.709Z"
"työtön","unemployed","Hän on työtön ja etsii töitä.","2025-12-09T10:59:18.176Z"
"kaksikymmentäkaksi","twenty-two","Kello on kaksikymmentäkaksi yli kolme.","2024-10-27T20:16:53.762Z"
"olo","state / condition","Minulla on hyvä olo.","2026-01-21T07:58:22.735Z"
"ruokapöytä","dining table","Me istumme ruokapöydän ääressä.","2024-11-07T05:26:41.292Z"
"tuonne","to over there","Menemme tuonne puistoon.","2026-02-01T06:28:23.760Z"
"tutkittava","to be investigated","Meidän on tutkittava tätä aluetta tarkemmin.","2026-01-15T11:47:40.451Z"
"on","is, =","2*3=6    kaksi kertaa kolme on kuusi.","2024-11-07T05:32:53.819Z"
"lyhyesti","briefly","Hän selitti projektin lyhyesti kokouksen aikana.","2026-01-11T19:04:23.129Z"
"vuorokausi","24 hours","Meillä on vuorokausi aikaa valmistautua.","2025-11-30T15:02:06.844Z"
